,Condition,Cylinder heating zone 1,Cylinder heating zone 4,Maximum injection pressure,Mould temperature control unit 1,Cycle time,Cylinder heating zone 5,Injection time,Cylinder heating zone 2,Dosage time,Cylinder heating zone 3,Switch-over volume,Material cushion
110,Conditon18,280.1,310.0,,,28.936,315.0,0.304,295.1,2.8160000000000003,310.0,,1.0101799999999999
111,Conditon18,280.2,,1379.75,90.0,28.936,315.0,0.304,295.1,2.818,310.1,1.4076799999999998,1.01244
112,Conditon18,280.2,310.0,1378.19,90.0,28.936,315.0,0.304,,2.818,,1.4076799999999998,1.00791
113,Conditon18,280.2,310.1,1387.83,90.0,,315.0,0.304,295.0,2.824,310.0,1.4076799999999998,1.0249
114,Conditon18,280.2,310.0,1370.89,90.0,28.936,315.1,0.304,295.0,2.824,310.0,1.4076799999999998,1.00678
115,Conditon18,280.0,310.0,1389.38,90.1,28.934,315.1,,295.0,2.818,310.1,1.4076799999999998,
116,Conditon18,280.0,310.0,1389.38,90.1,28.938000000000002,,0.304,295.0,,310.0,1.4076799999999998,1.04302
117,Conditon18,280.1,310.0,1369.8,90.1,28.938000000000002,315.0,0.304,295.1,2.8360000000000003,310.0,1.4076799999999998,1.00338
118,Conditon18,280.0,310.0,1369.8,90.1,28.938000000000002,315.1,0.304,295.0,2.898,310.0,1.4076799999999998,1.00565
119,Conditon18,280.1,310.0,1380.84,90.1,28.936,315.0,0.304,295.0,2.898,310.0,1.4076799999999998,1.01471
120,Conditon18,280.1,310.0,1381.15,90.0,28.938000000000002,315.0,0.304,295.1,2.87,310.0,1.4076799999999998,1.0158399999999999
121,Conditon18,280.0,310.1,,90.0,28.938000000000002,315.0,0.304,295.0,2.878,310.0,,1.02037
122,Conditon18,280.1,310.0,1375.86,89.9,28.936,315.0,0.304,295.1,2.878,310.0,1.4076799999999998,1.00112
123,Conditon18,280.0,,1381.3,89.9,28.938000000000002,315.1,0.304,295.1,2.888,310.0,1.4076799999999998,1.0249
124,Conditon18,280.1,310.0,1371.2,89.9,28.938000000000002,315.1,0.304,295.0,2.8960000000000004,310.0,1.4076799999999998,0.9999870000000001
125,Conditon18,,310.0,1370.27,90.0,28.936,315.0,0.304,,,,1.4076799999999998,
126,Conditon18,280.1,310.0,1385.03,90.0,28.936,315.1,0.304,295.0,2.886,310.1,1.4076799999999998,1.01471
127,Conditon18,280.1,310.1,1385.03,90.0,28.936,315.1,0.304,295.1,2.864,310.1,1.4076799999999998,1.00225
128,Conditon18,280.1,310.1,1378.97,90.0,28.934,315.0,0.304,295.0,2.88,310.1,1.4076799999999998,1.00452
